iter	Passed	Remaining
414	2512	3542
415	2516	3532
416	2518	3521
417	2520	3509
418	2522	3497
419	2524	3485
420	2528	3477
421	2530	3465
422	2533	3456
423	2536	3445
424	2537	3433
425	2544	3428
426	2547	3418
427	2550	3408
428	2552	3397
429	2556	3388
430	2558	3377
431	2563	3370
432	2566	3360
433	2569	3350
434	2571	3340
435	2573	3328
436	2574	3316
437	2576	3305
438	2577	3294
439	2579	3283
440	2581	3272
441	2582	3260
442	2584	3249
443	2586	3238
444	2586	3226
445	2588	3215
446	2590	3204
447	2591	3192
448	2592	3182
449	2594	3171
450	2597	3162
451	2601	3154
452	2604	3144
453	2608	3136
454	2610	3127
455	2614	3118
456	2617	3109
457	2619	3099
458	2623	3092
459	2625	3082
460	2630	3075
461	2634	3067
462	2640	3062
463	2643	3054
464	2645	3044
465	2649	3035
466	2653	3028
467	2655	3018
468	2658	3009
469	2663	3003
470	2665	2994
471	2671	2988
472	2676	2981
473	2683	2977
474	2690	2973
475	2693	2964
476	2702	2963
477	2706	2955
478	2711	2949
479	2714	2941
480	2722	2937
481	2725	2928
482	2731	2923
483	2734	2915
484	2738	2907
485	2740	2898
486	2743	2890
487	2746	2881
488	2750	2873
489	2753	2866
490	2760	2861
491	2764	2854
492	2767	2846
493	2770	2837
494	2775	2831
495	2778	2823
496	2785	2818
497	2787	2810
498	2791	2802
499	2794	2794
500	2796	2785
501	2799	2776
502	2802	2768
503	2805	2760
504	2809	2754
505	2815	2748
506	2818	2741
507	2826	2737
508	2829	2729
509	2834	2722
510	2840	2717
511	2843	2710
512	2852	2707
513	2858	2702
514	2863	2696
515	2868	2690
516	2876	2686
517	2878	2678
518	2886	2674
519	2889	2667
520	2897	2663
521	2900	2656
522	2910	2654
523	2914	2647
524	2920	2642
525	2923	2634
526	2927	2627
527	2929	2618
528	2931	2610
529	2934	2602
530	2936	2593
531	2939	2585
532	2941	2577
533	2944	2569
534	2949	2563
535	2952	2556
536	2957	2549
537	2960	2542
538	2963	2534
539	2966	2527
540	2971	2521
541	2974	2513
542	2980	2508
543	2984	2502
544	2987	2494
545	2989	2485
546	2990	2476
547	2992	2468
548	2994	2460
549	2998	2453
550	3001	2445
551	3003	2437
552	3005	2429
553	3008	2421
554	3010	2414
555	3014	2406
556	3019	2401
557	3022	2394
558	3030	2390
559	3032	2382
560	3038	2377
561	3042	2370
562	3045	2363
563	3049	2357
564	3055	2352
565	3059	2345
566	3062	2338
567	3064	2330
568	3066	2322
569	3068	2314
570	3070	2306
571	3071	2298
572	3073	2290
573	3074	2281
574	3076	2273
575	3077	2265
576	3079	2257
577	3081	2250
578	3083	2242
579	3084	2233
580	3088	2227
581	3090	2219
582	3094	2213
583	3096	2205
584	3098	2197
585	3099	2190
586	3100	2181
587	3102	2173
588	3104	2166
589	3105	2158
590	3107	2150
591	3109	2142
592	3111	2135
593	3112	2127
594	3114	2119
595	3116	2112
596	3117	2104
597	3119	2097
598	3121	2089
599	3122	2081
600	3124	2074
601	3126	2066
602	3126	2058
603	3128	2051
604	3130	2043
605	3131	2036
606	3133	2028
607	3134	2021
608	3136	2013
609	3138	2006
610	3139	1998
611	3141	1991
612	3143	1984
613	3144	1976
614	3146	1969
615	3147	1962
616	3149	1955
617	3151	1947
618	3153	1940
619	3154	1933
620	3156	1926
621	3157	1919
622	3159	1911
623	3161	1904
624	3163	1897
625	3164	1890
626	3166	1883
627	3168	1876
628	3170	1869
629	3171	1862
630	3173	1855
631	3175	1848
632	3177	1841
633	3179	1835
634	3181	1828
635	3182	1821
636	3185	1815
637	3187	1808
638	3189	1801
639	3191	1794
640	3193	1788
641	3195	1781
642	3196	1774
643	3198	1768
644	3200	1761
645	3202	1754
646	3204	1748
647	3206	1741
648	3208	1735
649	3209	1728
650	3210	1721
651	3212	1714
652	3214	1708
653	3216	1701
654	3217	1694
655	3219	1688
656	3221	1682
657	3228	1677
658	3230	1671
659	3233	1665
660	3236	1659
661	3237	1653
662	3241	1647
663	3242	1641
664	3244	1634
665	3246	1628
666	3247	1621
667	3249	1615
668	3254	1610
669	3257	1604
670	3259	1598
671	3262	1592
672	3267	1587
673	3271	1582
674	3274	1576
675	3277	1570
676	3281	1565
677	3283	1559
678	3285	1553
679	3287	1546
680	3289	1540
681	3294	1536
682	3296	1529
683	3298	1523
684	3299	1517
685	3301	1511
686	3305	1506
687	3309	1500
688	3311	1494
689	3313	1488
690	3314	1482
691	3316	1476
692	3318	1470
693	3321	1464
694	3325	1459
695	3327	1453
696	3332	1448
697	3335	1443
698	3340	1438
699	3346	1434
700	3349	1428
701	3353	1423
702	3357	1418
703	3363	1414
704	3368	1409
705	3375	1405
706	3378	1400
707	3382	1394
708	3387	1390
709	3394	1386
710	3401	1382
711	3407	1378
712	3411	1373
713	3421	1370
714	3429	1366
715	3438	1363
716	3445	1359
717	3447	1353
718	3453	1349
719	3460	1345
720	3466	1341
721	3474	1337
722	3479	1332
723	3486	1328
724	3494	1325
725	3502	1322
726	3512	1319
727	3518	1314
728	3529	1312
729	3532	1306
730	3541	1303
731	3547	1298
732	3551	1293
733	3558	1289
734	3562	1284
735	3567	1279
736	3571	1274
737	3576	1269
738	3584	1265
739	3590	1261
740	3594	1256
741	3603	1252
742	3606	1247
743	3613	1243
744	3615	1237
745	3618	1231
746	3620	1226
747	3623	1220
748	3628	1215
749	3631	1210
750	3633	1204
751	3636	1199
752	3642	1194
753	3644	1189
754	3650	1184
755	3654	1179
756	3659	1174
757	3661	1168
758	3663	1163
759	3664	1157
760	3666	1151
761	3668	1145
762	3670	1140
763	3672	1134
764	3674	1128
765	3675	1122
766	3677	1117
767	3678	1111
768	3680	1105
769	3682	1099
770	3684	1094
771	3686	1088
772	3687	1082
773	3689	1077
774	3690	1071
775	3692	1065
776	3693	1060
777	3695	1054
778	3697	1048
779	3699	1043
780	3700	1037
781	3702	1032
782	3704	1026
783	3705	1021
784	3708	1015
785	3712	1010
786	3717	1006
787	3718	1000
788	3722	995
789	3724	990
790	3726	984
791	3730	979
792	3733	974
793	3735	969
794	3742	965
795	3746	960
796	3748	954
797	3750	949
798	3752	943
799	3753	938
800	3757	933
801	3759	928
802	3761	922
803	3761	917
804	3763	911
805	3765	906
806	3766	900
807	3768	895
808	3771	890
809	3772	885
810	3774	879
811	3776	874
812	3777	868
813	3778	863
814	3780	858
815	3781	852
816	3783	847
817	3787	842
818	3788	837
819	3790	832
820	3792	826
821	3794	821
822	3796	816
823	3798	811
824	3800	806
825	3802	801
826	3804	795
827	3806	790
828	3808	785
829	3810	780
830	3811	775
831	3814	770
832	3816	765
833	3817	759
834	3819	754
835	3821	749
836	3822	744
837	3824	739
838	3825	734
839	3827	729
840	3830	724
841	3831	719
842	3833	713
843	3834	708
844	3836	703
845	3838	698
846	3840	693
847	3841	688
848	3843	683
849	3845	678
850	3847	673
851	3849	668
852	3851	663
853	3852	658
854	3854	653
855	3856	648
856	3858	643
857	3862	639
858	3865	634
859	3867	629
860	3874	625
861	3877	620
862	3879	615
863	3880	610
864	3882	605
865	3883	600
866	3885	596
867	3887	591
868	3888	586
869	3890	581
870	3891	576
871	3893	571
872	3894	566
873	3897	561
874	3898	556
875	3900	552
876	3901	547
877	3903	542
878	3904	537
879	3906	532
880	3907	527
881	3909	523
882	3911	518
883	3915	513
884	3918	509
885	3919	504
886	3921	499
887	3922	494
888	3925	490
889	3927	485
890	3931	480
891	3933	476
892	3935	471
893	3941	467
894	3947	463
895	3953	458
896	3956	454
897	3962	450
898	3964	445
899	3972	441
900	3976	436
901	3983	432
902	3986	428
903	3989	423
904	3993	419
905	3997	414
906	4000	410
907	4002	405
908	4007	401
909	4012	396
910	4014	392
911	4017	387
912	4020	383
913	4023	378
914	4027	374
915	4031	369
916	4039	365
917	4045	361
918	4052	357
919	4057	352
920	4064	348
921	4070	344
922	4073	339
923	4079	335
924	4085	331
925	4091	326
926	4097	322
927	4103	318
928	4106	313
929	4114	309
930	4118	305
931	4128	301
932	4132	296
933	4139	292
934	4143	288
935	4148	283
936	4151	279
937	4158	274
938	4164	270
939	4167	266
940	4171	261
941	4174	257
942	4177	252
943	4182	248
944	4185	243
945	4191	239
946	4194	234
947	4199	230
948	4201	225
949	4203	221
950	4205	216
951	4206	212
952	4208	207
953	4210	203
954	4212	198
955	4214	193
956	4216	189
957	4221	185
958	4223	180
959	4229	176
960	4232	171
961	4235	167
962	4237	162
963	4239	158
964	4245	153
965	4247	149
966	4251	145
967	4252	140
968	4254	136
969	4257	131
970	4258	127
971	4260	122
972	4261	118
973	4263	113
974	4264	109
975	4266	104
976	4267	100
977	4269	96
978	4270	91
979	4272	87
980	4274	82
981	4275	78
982	4277	73
983	4278	69
984	4280	65
985	4281	60
986	4283	56
987	4284	52
988	4286	47
989	4287	43
990	4289	38
991	4290	34
992	4292	30
993	4293	25
994	4294	21
995	4296	17
996	4298	12
997	4299	8
998	4301	4
999	4302	0
