iter	Logloss
0	0.6881327656
1	0.6852784029
2	0.6816885192
3	0.6773951285
4	0.6737040347
5	0.6700494346
6	0.6673399584
7	0.6640130155
8	0.6610542968
9	0.6589486666
10	0.6559043842
11	0.6533467194
12	0.6490887696
13	0.6447752535
14	0.6411659388
15	0.6379341512
16	0.6346725596
17	0.6317769127
18	0.6279905908
19	0.6242654082
20	0.6210394745
21	0.6176940739
22	0.6158941975
23	0.6123204886
24	0.6090888742
25	0.6063830859
26	0.6034930549
27	0.6012826175
28	0.5986039129
29	0.5958396911
30	0.5936579593
31	0.5912218827
32	0.5879584842
33	0.5856003165
34	0.5827643542
35	0.579461306
36	0.5762598962
37	0.574429394
38	0.5715990322
39	0.5692412567
40	0.5671398971
41	0.5640638289
42	0.5612648663
43	0.5588709254
44	0.5570013503
45	0.5545349453
46	0.5517376827
47	0.5497451885
48	0.5470258825
49	0.5444346918
50	0.5436880379
51	0.5412967548
52	0.538739708
53	0.5369351442
54	0.5344399755
55	0.5316948064
56	0.5293115139
57	0.5274679463
58	0.5256619446
59	0.5237518084
60	0.5213259377
61	0.5202240855
62	0.518141987
63	0.5166326534
64	0.5143505019
65	0.5124771282
66	0.5103068833
67	0.5090764869
68	0.5080119649
69	0.5064888457
70	0.5039169917
71	0.5021077912
72	0.5000820685
73	0.4981817094
74	0.4965845744
75	0.4951386856
76	0.4934593198
77	0.4918065498
78	0.4896986438
79	0.4879471246
80	0.4859754271
81	0.4846965785
82	0.4832989226
83	0.4813094926
84	0.4788436099
85	0.4771907309
86	0.4755684221
87	0.4737369915
88	0.4720318088
89	0.4714439635
90	0.469815167
91	0.4680547092
92	0.4665110382
93	0.4653292367
94	0.4637274129
95	0.4616747395
96	0.4601260195
97	0.4594329954
98	0.4574625404
99	0.4554911372
100	0.453805391
101	0.4521893239
102	0.4511812163
103	0.4494377941
104	0.4476545693
105	0.4460087579
106	0.4443301393
107	0.4436396679
108	0.4430422463
109	0.4419498077
110	0.4405491238
111	0.4392633301
112	0.4382933375
113	0.437013902
114	0.4355113339
115	0.4345261584
116	0.4328666098
117	0.4313727549
118	0.4306276343
119	0.4295427061
120	0.428833011
121	0.4277050967
122	0.4265191985
123	0.4253003251
124	0.4244305779
125	0.4236651265
126	0.4222514837
127	0.4213217556
128	0.420128627
129	0.4187637118
130	0.4175598951
131	0.4164974817
132	0.4155846135
133	0.414469342
134	0.4130137409
135	0.4117873298
136	0.4104386465
137	0.4092278476
138	0.4080576684
139	0.406974301
140	0.4064183151
141	0.4047383785
142	0.4038022092
143	0.4031495338
144	0.4016966313
145	0.4010950464
146	0.4009035711
147	0.3997771295
148	0.3990530743
149	0.3983664345
150	0.3971026522
151	0.3966429953
152	0.3955883423
153	0.3942824237
154	0.3931756736
155	0.392236066
156	0.3914359225
157	0.3905424259
158	0.3898468858
159	0.3893842884
160	0.3881832328
161	0.3871103917
162	0.3857818587
163	0.3849558497
164	0.3837749504
165	0.3832628867
166	0.3824747446
167	0.3816080589
168	0.3804204806
169	0.3795203581
170	0.3788408947
171	0.378278671
172	0.3774671398
173	0.3763271097
174	0.3754656445
175	0.3746038162
176	0.3741835955
177	0.3733339889
178	0.3724280868
179	0.3712849376
180	0.3707373068
181	0.3695812355
182	0.3687203432
183	0.3683551491
184	0.3670167498
185	0.3661062037
186	0.3650817151
187	0.3640905094
188	0.3628629501
189	0.3618993656
190	0.3612798633
191	0.3604365978
192	0.3594870168
193	0.3586832257
194	0.3576181559
195	0.3562263642
196	0.3558828871
197	0.3550232212
198	0.3543291035
199	0.3536836069
200	0.3525983327
201	0.3519247939
202	0.3508804438
203	0.3500517963
204	0.3491715675
205	0.3486765414
206	0.3479940163
207	0.3469623109
208	0.3460369586
209	0.3450033812
210	0.3443159461
211	0.3435951369
212	0.3428457629
213	0.3417815553
214	0.3408375075
215	0.3395863543
216	0.3388841164
217	0.3382932367
218	0.3377234555
219	0.3372691275
220	0.3366618181
221	0.336069649
222	0.335039185
223	0.3341496716
224	0.3331793886
225	0.3326053526
226	0.3316435515
227	0.331053563
228	0.3301177152
229	0.3293007626
230	0.3283361464
231	0.3277282732
232	0.3271876841
233	0.3266385532
234	0.3258239455
235	0.3249000281
236	0.3244262183
237	0.3238249377
238	0.3232892226
239	0.322966625
240	0.3226528608
241	0.3223763864
242	0.3220602247
243	0.3213327863
244	0.3206458745
245	0.3203106232
246	0.3196706879
247	0.3188721803
248	0.3186872822
249	0.3177698707
250	0.3170559169
251	0.3160549617
252	0.3154827372
253	0.3151705096
254	0.3144363384
255	0.314106685
256	0.3135403253
257	0.3130396369
258	0.3120347588
259	0.3116309439
260	0.310609401
261	0.3101561146
262	0.3098491753
263	0.3091087972
264	0.3083971001
265	0.3080913991
266	0.3077690894
267	0.3073335183
268	0.3068224253
269	0.3066921605
270	0.306067221
271	0.3053219973
272	0.3048522368
273	0.304165891
274	0.3038739409
275	0.3030008111
276	0.3024476605
277	0.301799087
278	0.3012453513
279	0.300922516
280	0.2999777558
281	0.29933106
282	0.2988669749
283	0.2983503094
284	0.2977247415
285	0.296997024
286	0.2964025558
287	0.2960448668
288	0.2955462041
289	0.294947487
290	0.294545941
291	0.2938945303
292	0.2935650245
293	0.2932200711
294	0.2932028606
295	0.2926802454
296	0.2922014813
297	0.2921743953
298	0.2916772063
299	0.2914550662
300	0.2906621209
301	0.2900809436
302	0.2893993497
303	0.2885887747
304	0.2879061596
305	0.2874572946
306	0.2870286838
307	0.2864844464
308	0.2860694152
309	0.2856720635
310	0.2852683584
311	0.2848923757
312	0.284484017
313	0.2841370806
314	0.2834876981
315	0.2827528351
316	0.2821166965
317	0.2817126809
318	0.2810547324
319	0.2804345649
320	0.2800173241
321	0.2794498201
322	0.2793224731
323	0.2787971056
324	0.2785444123
325	0.2779886589
326	0.2772109228
327	0.2769791333
328	0.2764080564
329	0.2759460421
330	0.2755317697
331	0.2753750378
332	0.2750469884
333	0.2745668435
334	0.2742049873
335	0.2738513842
336	0.2735105455
337	0.2731515953
338	0.2727899905
339	0.2720711443
340	0.2716700138
341	0.2711169168
342	0.2704647401
343	0.2702049305
344	0.2699073654
345	0.2694494351
346	0.2691419231
347	0.2688431285
348	0.2683064402
349	0.267815023
350	0.2674577822
351	0.2671612095
352	0.2665073629
353	0.2660275397
354	0.2653536968
355	0.2651391805
356	0.264579547
357	0.2641769043
358	0.2638901249
359	0.2633764423
360	0.2629672694
361	0.2624007389
362	0.2619957048
363	0.2617136524
364	0.2615558971
365	0.2608604167
366	0.2607060434
367	0.2603992266
368	0.2601966432
369	0.2597764877
370	0.2591346761
371	0.2587985235
372	0.2584174724
373	0.2580259383
374	0.2576493063
375	0.2573209419
376	0.2567598453
377	0.2565145475
378	0.2563680099
379	0.256117507
380	0.2559048958
381	0.2555023835
382	0.2551675149
383	0.2547483209
384	0.2543402115
385	0.2539773847
386	0.2536447264
387	0.2534550226
388	0.2531841473
389	0.2531279153
390	0.2527297874
391	0.2522596892
392	0.2520560847
393	0.2516768948
394	0.2515613128
395	0.2514762487
396	0.2510139781
397	0.2505520038
398	0.2502139275
399	0.2495842929
400	0.2492514078
401	0.2487621392
402	0.2480602024
403	0.2478038204
404	0.2474452891
405	0.2471852686
406	0.246719835
407	0.246374772
408	0.2463175808
409	0.2458806038
410	0.2456799628
411	0.2452917083
412	0.2451643953
413	0.2446627634
414	0.2441133886
415	0.2435959452
416	0.2429939098
417	0.2422915228
418	0.2420355016
419	0.2416771633
420	0.2414924231
421	0.2411753761
422	0.2411661787
423	0.2408996111
424	0.2405589353
425	0.2402914107
426	0.2398731029
427	0.2396597251
428	0.239135986
429	0.2386869539
430	0.2383371942
431	0.2377641803
432	0.2373144021
433	0.2371230935
434	0.2366060172
435	0.2363433474
436	0.2360137974
437	0.2358203822
438	0.2354362273
439	0.2352329656
440	0.2348272735
441	0.2345179729
442	0.2339661224
443	0.2336844296
444	0.2335957648
445	0.2332382692
446	0.2329375688
447	0.2325746489
448	0.2322188469
449	0.23199443
450	0.2317536799
451	0.2313721498
452	0.2312869478
453	0.230977437
454	0.2308368907
455	0.2302438578
456	0.2298570277
457	0.2295897989
458	0.2293205825
459	0.2291738321
460	0.2288310977
461	0.228700998
462	0.228469844
463	0.2279152139
464	0.2277123617
465	0.2275723713
466	0.22755443
467	0.2273742766
468	0.2272597913
469	0.2271520212
470	0.2268037269
471	0.2264374833
472	0.2262582577
473	0.2259500621
474	0.225571758
475	0.2253171134
476	0.2251778977
477	0.2247781381
478	0.2246242698
479	0.2243783459
480	0.2240850563
481	0.2239119828
482	0.2235404922
483	0.2234216623
484	0.2229458857
485	0.222730124
486	0.2226020736
487	0.2224784744
488	0.2217697755
489	0.2215653453
490	0.2213227451
491	0.2211510965
492	0.2208777126
493	0.2206536213
494	0.2202211776
495	0.2199640721
496	0.2195090057
497	0.2192732232
498	0.2187602496
499	0.2185901847
500	0.2183863349
501	0.2181110762
502	0.2179040213
503	0.2176089321
504	0.2175253598
505	0.2171231206
506	0.2168279146
507	0.2165564845
508	0.2162575554
509	0.2158353291
510	0.2155383707
511	0.21547008
512	0.2152156927
513	0.2150191323
514	0.214922261
515	0.2146121692
516	0.2140904745
517	0.2136370343
518	0.2134398766
519	0.2131098583
520	0.2127538565
521	0.2125395937
522	0.2123363595
523	0.2122789885
524	0.2119539461
525	0.2118669779
